,image_id,strip_id,sensor_id,date,time,cloud_percent,item_type,image_geom,image_coords,image_area,aoi_coverage
0,20150520_134549_081f,46185,PS0,5/20/2015,13:45:49,NA,PSScene,"[[[-78.85748827648803, 34.82207999611458], [-78.80070421266433, 34.78503810841212], [-78.74754947614566, 34.840402123091124], [-78.80439473774415, 34.87745103119025], [-78.85748827648803, 34.82207999611458]]]","[[-78.85748827648803, 34.82207999611458], [-78.80070421266433, 34.78503810841212], [-78.74754947614566, 34.840402123091124], [-78.80439473774415, 34.87745103119025], [-78.85748827648803, 34.82207999611458]]","POLYGON ((-78.85748827648803 34.82207999611458, -78.80070421266433 34.78503810841212, -78.74754947614566 34.840402123091124, -78.80439473774415 34.87745103119025, -78.85748827648803 34.82207999611458))",100
0,20150607_154813_0906,50450,PS0,6/7/2015,15:48:13,NA,PSScene,"[[[-78.62670645279256, 34.80747209420133], [-78.65984917350387, 34.90859756421459], [-78.84405107752687, 34.867228952204215], [-78.8105912431186, 34.76643542559578], [-78.62670645279256, 34.80747209420133]]]","[[-78.62670645279256, 34.80747209420133], [-78.65984917350387, 34.90859756421459], [-78.84405107752687, 34.867228952204215], [-78.8105912431186, 34.76643542559578], [-78.62670645279256, 34.80747209420133]]","POLYGON ((-78.62670645279256 34.80747209420133, -78.65984917350387 34.90859756421459, -78.84405107752687 34.867228952204215, -78.8105912431186 34.76643542559578, -78.62670645279256 34.80747209420133))",100
1,20151219_165417_0c03,115021,PS2,12/19/2015,16:54:17,NA,PSScene,"[[[-78.81210809968293, 34.96005478026528], [-78.91286017383561, 34.88423232046462], [-78.7731087449336, 34.75947123420727], [-78.67299142987545, 34.83496281825203], [-78.81210809968293, 34.96005478026528]]]","[[-78.81210809968293, 34.96005478026528], [-78.91286017383561, 34.88423232046462], [-78.7731087449336, 34.75947123420727], [-78.67299142987545, 34.83496281825203], [-78.81210809968293, 34.96005478026528]]","POLYGON ((-78.81210809968293 34.96005478026528, -78.91286017383561 34.88423232046462, -78.7731087449336 34.75947123420727, -78.67299142987545 34.83496281825203, -78.81210809968293 34.96005478026528))",100
2,20151219_165416_0c03,115021,PS2,12/19/2015,16:54:16,NA,PSScene,"[[[-78.89556122814797, 34.89630099431942], [-78.99616214491851, 34.82040213144275], [-78.85635198194781, 34.69572209787592], [-78.75642678283616, 34.77133585901917], [-78.89556122814797, 34.89630099431942]]]","[[-78.89556122814797, 34.89630099431942], [-78.99616214491851, 34.82040213144275], [-78.85635198194781, 34.69572209787592], [-78.75642678283616, 34.77133585901917], [-78.89556122814797, 34.89630099431942]]","POLYGON ((-78.89556122814797 34.89630099431942, -78.99616214491851 34.82040213144275, -78.85635198194781 34.69572209787592, -78.75642678283616 34.77133585901917, -78.89556122814797 34.89630099431942))",0.196509852
3,20151118_131055_0b0b,101226,PS1,11/18/2015,13:10:55,NA,PSScene,"[[[-78.84673010181923, 34.84376780654269], [-78.78760194325294, 34.80231024706663], [-78.7120461329297, 34.875344484267174], [-78.77124445562812, 34.916810246942696], [-78.84673010181923, 34.84376780654269]]]","[[-78.84673010181923, 34.84376780654269], [-78.78760194325294, 34.80231024706663], [-78.7120461329297, 34.875344484267174], [-78.77124445562812, 34.916810246942696], [-78.84673010181923, 34.84376780654269]]","POLYGON ((-78.84673010181923 34.84376780654269, -78.78760194325294 34.80231024706663, -78.7120461329297 34.875344484267174, -78.77124445562812 34.916810246942696, -78.84673010181923 34.84376780654269))",100
4,20150815_193705_0b09,85348,PS1,8/15/2015,19:37:05,NA,PSScene,"[[[-78.78946115442488, 34.742845009944794], [-78.73231020425435, 34.78987330563492], [-78.81796308986739, 34.860526573946665], [-78.87503933074629, 34.81347877650315], [-78.78946115442488, 34.742845009944794]]]","[[-78.78946115442488, 34.742845009944794], [-78.73231020425435, 34.78987330563492], [-78.81796308986739, 34.860526573946665], [-78.87503933074629, 34.81347877650315], [-78.78946115442488, 34.742845009944794]]","POLYGON ((-78.78946115442488 34.742845009944794, -78.73231020425435 34.78987330563492, -78.81796308986739 34.860526573946665, -78.87503933074629 34.81347877650315, -78.78946115442488 34.742845009944794))",100
5,20150812_204550_1_0b09,70222,PS1,8/12/2015,20:45:50,NA,PSScene,"[[[-78.83555697297774, 34.81668536745476], [-78.76632080658524, 34.85407661779287], [-78.83407103438546, 34.93850442896138], [-78.90364160883428, 34.90128705460034], [-78.83555697297774, 34.81668536745476]]]","[[-78.83555697297774, 34.81668536745476], [-78.76632080658524, 34.85407661779287], [-78.83407103438546, 34.93850442896138], [-78.90364160883428, 34.90128705460034], [-78.83555697297774, 34.81668536745476]]","POLYGON ((-78.83555697297774 34.81668536745476, -78.76632080658524 34.85407661779287, -78.83407103438546 34.93850442896138, -78.90364160883428 34.90128705460034, -78.83555697297774 34.81668536745476))",100
0,20160424_131913_1_0b07,176921,PS1,4/24/2016,13:19:13,NA,PSScene,"[[[-78.78241322088454, 34.76803956811227], [-78.85062230987768, 34.82940742473812], [-78.80139821609475, 34.86674318605636], [-78.73316882635248, 34.8050962784214], [-78.78241322088454, 34.76803956811227]]]","[[-78.78241322088454, 34.76803956811227], [-78.85062230987768, 34.82940742473812], [-78.80139821609475, 34.86674318605636], [-78.73316882635248, 34.8050962784214], [-78.78241322088454, 34.76803956811227]]","POLYGON ((-78.78241322088454 34.76803956811227, -78.85062230987768 34.82940742473812, -78.80139821609475 34.86674318605636, -78.73316882635248 34.8050962784214, -78.78241322088454 34.76803956811227))",100
1,20160405_213249_0c47,170597,PS2,4/5/2016,21:32:49,NA,PSScene,"[[[-78.78389454597662, 34.66845234865316], [-78.68858761286836, 34.7435465410404], [-78.82568741784448, 34.86205460727138], [-78.92117092545881, 34.78687398309663], [-78.78389454597662, 34.66845234865316]]]","[[-78.78389454597662, 34.66845234865316], [-78.68858761286836, 34.7435465410404], [-78.82568741784448, 34.86205460727138], [-78.92117092545881, 34.78687398309663], [-78.78389454597662, 34.66845234865316]]","POLYGON ((-78.78389454597662 34.66845234865316, -78.68858761286836 34.7435465410404, -78.82568741784448 34.86205460727138, -78.92117092545881 34.78687398309663, -78.78389454597662 34.66845234865316))",100
2,20160405_213250_0c47,170597,PS2,4/5/2016,21:32:50,NA,PSScene,"[[[-78.70324326455541, 34.73203823420971], [-78.60780174939237, 34.806990267031075], [-78.74491882455253, 34.92568384684163], [-78.8403068495716, 34.85061775985802], [-78.70324326455541, 34.73203823420971]]]","[[-78.70324326455541, 34.73203823420971], [-78.60780174939237, 34.806990267031075], [-78.74491882455253, 34.92568384684163], [-78.8403068495716, 34.85061775985802], [-78.70324326455541, 34.73203823420971]]","POLYGON ((-78.70324326455541 34.73203823420971, -78.60780174939237 34.806990267031075, -78.74491882455253 34.92568384684163, -78.8403068495716 34.85061775985802, -78.70324326455541 34.73203823420971))",11.67623998
